,title,artist,week,time_wide,time_narrow,uri
461,Looking For Lovin',"['Dragonborn', 'Coco']",2012 09,man 27. februar 2012,27. feb,spotify:track:3GERuTZBLjXrINTF9ldihc
462,Climax,['Usher'],2012 08,man 20. februar 2012,20. feb,spotify:track:5pyVqlqThcxI7tPDjHIzPh
463,Easter Island,['The Eclectic Moniker'],2012 07,man 13. februar 2012,13. feb,spotify:track:24YP1gQKTz6guWS8NvFIhq
464,Skyggerne,['Dig & Mig'],2012 06,man 6. februar 2012,6. feb,spotify:track:0qeDzesIGElZoMkIUQ3tDH
465,Paddling Out,['Miike Snow'],2012 05,man 30. januar 2012,30. jan,spotify:track:0rfXn2iUwqQXzNvJgmcG6p
466,Heart Attack,['The Asteroids Galaxy Tour'],2012 04,man 23. januar 2012,23. jan,spotify:track:6kUE1EfSY3L9n8QOs2FZtL
467,Ã„ckligt,['Ansiktet'],2012 03,man 16. januar 2012,16. jan,spotify:track:5Sh5RqOkQ7dsjVx998BtS7
468,Magic,['The Sound of Arrows'],2011 51,man 19. december 2011,19. dec,spotify:track:35z96FOs6mmwVlc1p2MCk2
469,Born to Die,['Lana Del Rey'],2011 50,man 12. december 2011,12. dec,spotify:track:2wMby9pciuGUIP8q7y4Yn6
470,City Boy,['DonkeyBoy'],2011 49,man 5. december 2011,5. dec,spotify:track:4bIRKImTd8vH9Ks79l7Rz8
471,Take Care,"['Drake', 'Rihanna']",2011 48,man 28. november 2011,28. nov,spotify:track:124NFj84ppZ5pAxTuVQYCQ
472,Days of Thunder,['Spleen United'],2011 47,man 21. november 2011,21. nov,spotify:track:73wOC91JLmOYAb1X1LUREs
473,Lonely Boy,['The Black Keys'],2011 46,man 14. november 2011,14. nov,spotify:track:5G1sTBGbZT5o4PNRc75RKI
474,Patricia's Thirst,['Choir of Young Believers'],2011 45,man 7. november 2011,7. nov,spotify:track:7fOLWUiqEi2wjqCd4dZloP
475,The Drummer,['Niki & the Dove'],2011 44,man 31. oktober 2011,31. okt,spotify:track:2Tm2pLx05XxlEiUob1DWZa
476,Surprise Me,['Tim Christensen & the Damn Crystals'],2011 43,man 24. oktober 2011,24. okt,spotify:track:0cJ0t31i3VbglDDxWPUvnd
477,Ordinary Things,['Lukas Graham'],2011 42,man 17. oktober 2011,17. okt,spotify:track:30AXKeoo7d6Ra6EcckzA88
478,Go,['Delilah'],2011 41,man 10. oktober 2011,10. okt,spotify:track:1jbRXE0cGEDFBEnrdrAwug
479,Shake It Out,['Florence + the Machine'],2011 40,man 3. oktober 2011,3. okt,spotify:track:71iSmEeF0qRVyULABxP75P
480,Ikke mer' mig (Niklas fuck dig),['Niklas'],2011 39,man 26. september 2011,26. sep,spotify:track:7AAHluTGHcFGHWz07erebL
481,Geronimo,['Aura Dione'],2011 38,man 19. september 2011,19. sep,spotify:track:4y2HNHyQ10aHN72QQSd3eq
482,GÃ¥ for det,['Pato Siebenhaar'],2011 37,man 12. september 2011,12. sep,spotify:track:3xyzLbjDoMzs4YzBxwfr6z
483,How Deep Is Your Love,['The Rapture'],2011 36,man 5. september 2011,5. sep,spotify:track:7ddGC67DasWO30q5YepUJe
484,Midnight City,['M83'],2011 35,man 29. august 2011,29. aug,spotify:track:6GyFP1nfCDB8lbD2bG0Hq9
485,Slem dreng,['Kesi'],2011 34,man 22. august 2011,22. aug,spotify:track:1289z90Sg0SKIz9Zz5fFNp
486,Let Me Go,['Maverick Sabre'],2011 26,man 27. juni 2011,27. jun,spotify:track:3HblOVuBVZqg3fESHDFQvb
487,Never Stop Coming Back,['Freja Loeb'],2011 25,man 20. juni 2011,20. jun,spotify:track:58CjND7U4IQVnRMmR3AYvP
488,Good for Nothing,['Hard-Fi'],2011 23,man 6. juni 2011,6. jun,spotify:track:5dTcEcDpGB0IHHBP1w2wwL
489,Run From the Rain,['I Got You on Tape'],2011 22,man 30. maj 2011,30. maj,spotify:track:7zZ5GFL0vnqCCQCqiSJUs5
490,Calgary,['Bon Iver'],2011 21,man 23. maj 2011,23. maj,spotify:track:3XnfWIv4HEJbwAhAq9jXSk
491,Klaus Pagh,['Suspekt'],2011 20,man 16. maj 2011,16. maj,spotify:track:2Z9WRvHHXUnmHKCYoFROQc
492,Om sanningen ska fram,['Eric Amarillo'],2011 19,man 9. maj 2011,9. maj,spotify:track:32LXe5COBCJfDJFiMwbs0b
493,Killer Bee,['Vinnie Who'],2011 18,man 2. maj 2011,2. maj,spotify:track:15D48LKGWeEtY3gBGJkuju
494,Runaway Love,['Alice Gold'],2011 17,man 25. april 2011,25. apr,spotify:track:3BMcDAIYCnOSiUvEiJggv3
495,Don't Sit Down ‘Cause I've Moved Your Chair,['Arctic Monkeys'],2011 16,man 18. april 2011,18. apr,spotify:track:3czdA0j4iaLDJJCoT5D8iP
496,Min klub fÃ¸rst,"['Rosa Lux', 'Alberte Winding', 'Josefine Winding']",2011 15,man 11. april 2011,11. apr,spotify:track:3Mn1dh7GFCyQDDPBZEHUzj
497,Live Those Days Tonight,['Friendly Fires'],2011 14,man 4. april 2011,4. apr,spotify:track:2djYOpRbMun4naQer0Klcc
498,Herligt spild af liv,['UFO'],2011 13,man 28. marts 2011,28. mar,spotify:track:4H3M05RedzQLK6WU3Hil0G
499,Kelly,['When Saints Go Machine'],2011 12,man 21. marts 2011,21. mar,spotify:track:6S8U0147pdZA9ktCpXg0mw
500,Pumped Up Kicks,['Foster the People'],2011 11,man 14. marts 2011,14. mar,spotify:track:7w87IxuO7BDcJ3YUqCyMTT
501,Os to og mine lagner,['Xander'],2011 10,man 7. marts 2011,7. mar,spotify:track:1IdkZLbuMiBprB5XJPHHcJ
502,The Last Dance,['Clare Maguire'],2011 09,man 28. februar 2011,28. feb,spotify:track:1zp3EnKjNoNDOL2hRYyTiu
503,Sometimes,['Miami Horror'],2011 08,man 21. februar 2011,21. feb,spotify:track:0kLrrh7Z1gySNTunBH790J
504,The Light (Plane to Spain),['The William Blakes'],2011 07,man 14. februar 2011,14. feb,spotify:track:4pGwGKGR4GJDzr2WF0FqpC
505,Ung for evigt,['L.O.C.'],2011 06,man 7. februar 2011,7. feb,spotify:track:5sRsA6Tgftopg39TefJcJ0
506,Blind Faith,"['Chase & Status', 'Liam Bailey']",2011 05,man 31. januar 2011,31. jan,spotify:track:04OxTCLGgDKfO0MMA2lcxv
507,Black and Yellow,['Wiz Khalifa'],2011 04,man 24. januar 2011,24. jan,spotify:track:5A6OHHy73AR5tLxgTc98zz
508,This Is Not,['Veto'],2011 03,man 17. januar 2011,17. jan,spotify:track:1hNT8hFr81ebUDVFhvhfWx
509,Post Break-Up Sex,['The Vaccines'],2010 51,man 20. december 2010,20. dec,spotify:track:47oXAoC5TynVLCZ3FKb0gC
510,Limit to Your Love,['James Blake'],2010 50,man 13. december 2010,13. dec,spotify:track:33BnSMHgX0AsbKSIbkuMwh
511,Rolling in the Deep,['Adele'],2010 49,man 6. december 2010,6. dec,spotify:track:4OSBTYWVwsQhGLF9NHvIbR
512,Bigger Than Us,['White Lies'],2010 48,man 29. november 2010,29. nov,spotify:track:6liInqEMWfg2otVbALI99n
513,Whip My Hair,['Willow'],2010 47,man 22. november 2010,22. nov,spotify:track:4Dio1t8RHzLv1nfPJTSZyP
514,Not in Love,"['Crystal Castles', 'Robert Smith']",2010 46,man 15. november 2010,15. nov,spotify:track:46Xnj8vZFwOZCE4aZNXlTf
515,Get Some,['Lykke Li'],2010 45,man 8. november 2010,8. nov,spotify:track:16DxXWsvcgmyZs9N8bHyEC
516,Seek Bromance (Avicii's Vocal Edit),['Tim Berg'],2010 44,man 1. november 2010,1. nov,spotify:track:7tSO7DrrYpiMXX3zM4b3oM
517,A Kiss With Pizazz,['Ignug'],2010 43,man 25. oktober 2010,25. okt,spotify:track:6VeW3Ij5vTTmx98CtkQogF
518,Light Years,['Peder'],2010 42,man 18. oktober 2010,18. okt,spotify:track:6Z7zS8frXK5K1ai9aomET7
519,Jeg har ikke lyst til at dÃ¸,['De Eneste To'],2010 41,man 11. oktober 2010,11. okt,spotify:track:5OYtUt7y7324CNnf32G0or
520,Sun of a Gun,['Oh Land'],2010 40,man 4. oktober 2010,4. okt,spotify:track:4tEP4H9F3VsvU3bOBpGa83
521,Pigeons,['The hundred in the hands'],2010 39,man 27. september 2010,27. sep,spotify:track:5inMgsJBw3sIYvTmsEuizS
522,Sentimentally Falling,['The Rumour Said Fire'],2010 38,man 20. september 2010,20. sep,spotify:track:5igh41fS7SAC0oXV3CbZYt
523,The Escapist,['Marvel Hill'],2010 37,man 13. september 2010,13. sep,spotify:track:5xzw0fxBnbuQyNCav0wReZ
524,Annie You Save Me,['Graffiti6'],2010 36,man 6. september 2010,6. sep,spotify:track:7pelUH7SEO70tWhfFDwPio
525,Fuck You,['Cee-Lo'],2010 35,man 30. august 2010,30. aug,spotify:track:3ydfhgIZIc2j39NLIhpJpq
526,Poison,['Lucy Love'],2010 34,man 23. august 2010,23. aug,spotify:track:5bnDmxd9VZmCYelv7tENrt
527,I Need Air,"['Magnetic Man', 'Angela Hunte']",2010 33,man 16. august 2010,16. aug,spotify:track:5je1EimWTwYw2p8XVym99q
528,Full Moon (Turboweekend Remix),['Efterklang'],2010 26,man 28. juni 2010,28. jun,
529,Caves and Light,['The William Blakes'],2010 25,man 21. juni 2010,21. jun,spotify:track:3vEd6aPOjOAwQIsIduxvAG
530,Love Shot,['The Blue Van'],2010 24,man 14. juni 2010,14. jun,spotify:track:6LSOW9RhwbyCJXiNnJdXUO
531,…Even Though You're With Another Girl,"['TrentemÃ¸ller', 'Josephine Philip']",2010 23,man 7. juni 2010,7. jun,spotify:track:53b92yNwjOW9OpZ39HRwzN
532,Facing the Sun,['Treefight For Sunlight'],2010 22,man 31. maj 2010,31. maj,spotify:track:309FKKszHwUElZznoZ7ziZ
533,XXXO,['M.I.A.'],2010 21,man 24. maj 2010,24. maj,spotify:track:5fBx0CyspbLYEO073IHxGN
534,Rainbow Girl,['Giana Factory'],2010 20,man 17. maj 2010,17. maj,spotify:track:5MkTgxh3TMgmIKgeqMdLl6
535,Caesar,"['I Blame Coco', 'Robyn']",2010 19,man 10. maj 2010,10. maj,spotify:track:1nyg0nfH5VTPClc5G7U6eH
536,Tighten Up,['The Black Keys'],2010 18,man 3. maj 2010,3. maj,spotify:track:3C542UknrX76XSRXTyQ1Qg
537,Alors on Danse,['Stromae'],2010 17,man 26. april 2010,26. apr,spotify:track:4I2ENHg65RuKifEHdD0kMu
538,Ikke for sent (Boom Clap Bachelors Remix),['Panamah'],2010 16,man 19. april 2010,19. apr,spotify:track:7Bnr1i4tzJROtg0mlMBxwJ
539,Bloodbuzz Ohio,['The National'],2010 15,man 12. april 2010,12. apr,spotify:track:5idVbYWHOBsFktyGq9KhkL
540,Aldrig ensam,['Jonathan Johansson'],2010 14,man 5. april 2010,5. apr,spotify:track:67rUPnTsWfa89kyFYm9kS8
541,She Said,['Plan B'],2010 13,man 29. marts 2010,29. mar,spotify:track:5kVU4z9zL3M7w7EVhBBbEF
542,Happyland,['Amanda Jenssen'],2010 12,man 22. marts 2010,22. mar,spotify:track:4tgk1C7oPfaVtrsBff1Cew
543,Antlers,['Apparatjik'],2010 11,man 15. marts 2010,15. mar,spotify:track:0TGzcank4RAVbextdRohp3
544,Number One Enemy,"['Daisy Dares You', 'Chipmunk']",2010 10,man 8. marts 2010,8. mar,
545,Corollaceous,['RebekkaMaria'],2010 09,man 1. marts 2010,1. mar,spotify:track:6ojWKgZhurZ0UyDPAgelAd
546,O.N.E.,['Yeasayer'],2010 08,man 22. februar 2010,22. feb,spotify:track:7pDsJ09zkRr6A2KdLW6m9A
547,Wonderful Life,['Hurts'],2010 07,man 15. februar 2010,15. feb,spotify:track:2pxpJ9lmbqPEIk3M7ezLR0
548,Let's Go Surfing,['The Drums'],2010 06,man 8. februar 2010,8. feb,spotify:track:49skdn8Truaufvcz8BXmtT
549,What You Got Is Mine,['Vinnie Who'],2010 05,man 1. februar 2010,1. feb,spotify:track:4o64cijs3mZIZomr2xXUwl
550,All Outta Love,['The Floor Is Made of Lava'],2010 04,man 25. januar 2010,25. jan,spotify:track:5CPXNoNdum025C5CeZfFk5
551,SDP,['The Kissaway Trail'],2009 50,man 7. december 2009,7. dec,spotify:track:2sOMChotCzwKvqbUgLXcMR
552,Mowgli's Road,['Marina and the Diamonds'],2009 49,man 30. november 2009,30. nov,spotify:track:7GSt1wQIumbnBcx3Fc6oxS
553,Under the Sheets,['Ellie Goulding'],2009 48,man 23. november 2009,23. nov,spotify:track:5qMINSAW82yP7IRW918rcE
554,Mouthful of Wasps,['Kashmir'],2009 47,man 16. november 2009,16. nov,spotify:track:1eaImUyIwA7am9ICnvUE5P
555,You've Got the Love,['Florence + the Machine'],2009 45,man 2. november 2009,2. nov,spotify:track:244AvzGQ4Ksa5637JQu5Gy
556,Fireflies,"['Owl City', 'Matthew Thiessen']",2009 44,man 26. oktober 2009,26. okt,spotify:track:3DamFFqW32WihKkTVlwTYQ
557,Young Again,"['Kasper BjÃ¸rke', 'Jacob Bellens']",2009 43,man 19. oktober 2009,19. okt,spotify:track:4uhEAzijB4Im1TXnt1Bidi
558,11th Dimension,['Julian Casablancas'],2009 42,man 12. oktober 2009,12. okt,spotify:track:6i99ThziImjuFABb8rUQvy
559,The Balcony,['The Rumour Said Fire'],2009 41,man 5. oktober 2009,5. okt,spotify:track:3NFkQIacYw5yLHW9N1pTwt
560,Ignorance,['Paramore'],2009 40,man 28. september 2009,28. sep,spotify:track:5ZdrNnYV5VZWds4WXKf8kf
561,Hurtful,['Erik Hassle'],2009 39,man 21. september 2009,21. sep,spotify:track:4QH2mH5Jmwi9WfXGFwlHLQ
562,I Lay My Head,['Fallulah'],2009 38,man 14. september 2009,14. sep,spotify:track:7MMMyVoRYBLvo0AzFBZuuf
563,Only If You Run,['Julian Plenti'],2009 37,man 7. september 2009,7. sep,spotify:track:2Bjp7LRNPxdYRdHiozMDgK
564,The Spell,['Alphabeat'],2009 36,man 31. august 2009,31. aug,spotify:track:1TJ2JmmBg286sXj64QGEco
565,Heartbreaker,"['MSTRKRFT', 'John Legend']",2009 35,man 24. august 2009,24. aug,spotify:track:3xwm0faDUX5DQxvNVpawjB
566,Last Dance,['The Raveonettes'],2009 34,man 17. august 2009,17. aug,spotify:track:1wkDtPvigXJsadOm87RG8S
567,Broken Hearts,['Kiss Kiss Kiss'],2009 26,man 22. juni 2009,22. jun,spotify:track:0xCy7vhHEVQcdyzgBlmi4z
568,Stone Cold Sober,['Paloma Faith'],2009 25,man 15. juni 2009,15. jun,spotify:track:7AlmVLuvYCTYRpn9PNoK5z
569,Victim of the City,['DÃºnÃ©'],2009 24,man 8. juni 2009,8. jun,
570,Introducing Palace Players,['Mew'],2009 23,man 1. juni 2009,1. jun,spotify:track:2Dgj82YeBU0PBP0vmkz774
571,Bawler hele dagen,['Johnson'],2009 22,man 25. maj 2009,25. maj,spotify:track:2IQ0yacvJGfwRbSc2ydGXo
572,I Lost My Voice,['WhoMadeWho'],2009 21,man 18. maj 2009,18. maj,spotify:track:5OPSUMad77fJK3UHZ4dDph
573,Svennebanan,['Promoe'],2009 20,man 11. maj 2009,11. maj,spotify:track:6ecXTX2pa5udwadBL62kUY
574,Time,['Ida Corr'],2009 19,man 4. maj 2009,4. maj,spotify:track:0b4fkbWKpWBSCxGU5P8w36
575,Love Is My Drug,['John ME'],2009 18,man 27. april 2009,27. apr,spotify:track:2KEXZ851uGSnDKQX08xiV4
576,I'm Not Alone,['Calvin Harris'],2009 17,man 20. april 2009,20. apr,spotify:track:07POri5O6Xu0aVZzlvOcpy
577,007 Is Also Gonna Die,['Nephew'],2009 16,man 13. april 2009,13. apr,spotify:track:3QLh0DHDw2Hsy1Z5XtIa1E
578,Tonight's Today,['Jack PeÃ±ate'],2009 15,man 6. april 2009,6. apr,spotify:track:72j4DOamQqigQsEL8jt7Up
579,Don't Upset the Rhythm,['The Noisettes'],2009 14,man 30. marts 2009,30. mar,spotify:track:6Pfp47eUtnj2D1LMMtmDne
580,Wake Me Up in Time,['Mads Langer'],2009 13,man 23. marts 2009,23. mar,spotify:track:6An4tAZro4e3IMevZXf70D
581,Give It to Me Right,['Melanie Fiona'],2009 12,man 16. marts 2009,16. mar,spotify:track:51nhSIsg5G8hjhV4kja0Oz
582,Zero,['Yeah Yeah Yeahs'],2009 11,man 9. marts 2009,9. mar,spotify:track:6RnfjXnNuKK6zca1d9W0Ir
583,Spell on You,['Laust Sonne'],2009 10,man 2. marts 2009,2. mar,spotify:track:7yUKwr9Nudvwb85srebKpx
584,Change,"['Daniel Merriweather', 'Wale']",2009 09,man 23. februar 2009,23. feb,spotify:track:21BiIfA9vEMG4Y11o5ZdPU
585,Inden du falder i sÃ¸vn,['Mikael Simpson'],2009 08,man 16. februar 2009,16. feb,spotify:track:5JrHNiKP3qykdEV0grcmOS
586,Internet Warrior,['Oh No Ono'],2009 07,man 9. februar 2009,9. feb,spotify:track:0LKS3znp9nNEeERpXoZeYh
587,Meddle,['Little Boots'],2009 06,man 2. februar 2009,2. feb,spotify:track:2niEOpi8jIYY8f8EjvJs3w
588,To Lose My Life,['White Lies'],2009 05,man 26. januar 2009,26. jan,spotify:track:2hUHm19fmQnJ40LZXqjhZt
589,Around the Bend,['The Asteroids Galaxy Tour'],2009 04,man 19. januar 2009,19. jan,spotify:track:4tdGyzQ3WqygwxOEpbQ8eo
590,Intet stopper helt,['Balstyrko'],2009 03,man 12. januar 2009,12. jan,spotify:track:0Mjjr6TglVnLuCeODb8rZv
591,The Fear,['Lily Allen'],2008 50,man 8. december 2008,8. dec,spotify:track:7lIyBKp2KX7ABDjDfo9EtL
592,Bust Your Windows,['Jazmine Sullivan'],2008 49,man 1. december 2008,1. dec,spotify:track:56z2qI0gKcPthQF6l8AW3E
593,Dream On,"['Christian Falk', 'Robyn']",2008 48,man 24. november 2008,24. nov,spotify:track:2j9yhsrdH5ofn7fTzVEaFr
594,Bang Bang,['The Knux'],2008 47,man 17. november 2008,17. nov,spotify:track:6fpkdMbodsaNHS2PZ7QLTe
595,The Rules,['The Broken Beats'],2008 46,man 10. november 2008,10. nov,spotify:track:43UmQcmsLDsv4dMYRsDWF5
596,Audition Day,['Oh Land'],2008 45,man 3. november 2008,3. nov,spotify:track:5UPpTDC4QuP7SM7BVOAAOB
597,Dirty Place,['Maria Timm'],2008 44,man 27. oktober 2008,27. okt,spotify:track:02lfUzNkxXhycQ3IFQEf01
598,My Delirium,['Ladyhawke'],2008 43,man 20. oktober 2008,20. okt,spotify:track:1YhzlKAGZCgFmu3maqDQtl
599,Geraldine,['Glasvegas'],2008 42,man 13. oktober 2008,13. okt,spotify:track:0x7L1Jp3nvOeaKVg0GGSyt
600,MÃ¥ndagsbarn,['Veronica Maggio'],2008 41,man 6. oktober 2008,6. okt,spotify:track:4MXHBiKcdqHBJ4PeHQJBHO
601,Superior,['Tim Christensen'],2008 40,man 29. september 2008,29. sep,spotify:track:4rzQjkMUY6rO54iK8aWKnK
602,Paper Planes,['M.I.A.'],2008 39,man 22. september 2008,22. sep,spotify:track:1ixbwbeBi5ufN4noUKmW5a
603,In This City,['Iglu & Hartly'],2008 38,man 15. september 2008,15. sep,spotify:track:4wqYe3p8xV06OP5S9dBI9s
604,Silly Boy,['The Blue Van'],2008 37,man 8. september 2008,8. sep,spotify:track:1IZvIC5iRUxjJtYKpzSfnv
605,Sex on Fire,['Kings of Leon'],2008 36,man 1. september 2008,1. sep,spotify:track:0ntQJM78wzOLVeCUAW7Y45
606,Falling,"['White Pony', 'Land', 'Tobias K']",2008 35,man 25. august 2008,25. aug,spotify:track:6zDfFTBzAof6KoiaeVw64L
607,Med smÃ¥ skridt,"['Mike Sheridan', 'Maya Albana']",2008 34,man 18. august 2008,18. aug,spotify:track:0A8urNhLGCKSiv2AqnTbSK
608,I Like You So Much Better When You're Naked,['Ida Maria'],2008 33,man 11. august 2008,11. aug,spotify:track:7bvBOzSYbzUMg9ElqkWQiA
609,Maybellene i hofteholder,['Volbeat'],2008 32,man 4. august 2008,4. aug,spotify:track:5EAqdVQ4SxklvmuFYHh9nK
610,Shall We Be Grateful,['Carpark North'],2008 27,man 30. juni 2008,30. jun,spotify:track:1GnLaQok97QIhRFN4UwH7U
611,Up to Your Neck,['Diefenbach'],2008 26,man 23. juni 2008,23. jun,spotify:track:4vs1huAe5rtBqwsmtJ1wjO
612,Sunshine Lover,['Small'],2008 25,man 16. juni 2008,16. jun,spotify:track:7Lqjgb8dPB1u8I2fLgUOP1
613,Heartbeat,['Nneka'],2008 24,man 9. juni 2008,9. jun,spotify:track:5LbrLmOI7GUG9v5b7S5qyO
614,Next Summer,['Choir of Young Believers'],2008 23,man 2. juni 2008,2. jun,spotify:track:4UjWUEf69ngte65p7bV7uk
615,Kids on Vacation,['When Saints Go Machine'],2008 22,man 26. maj 2008,26. maj,spotify:track:41nbkj0KsEZ9a53odia7tz
616,Difficult Guys,['Camille Jones'],2008 21,man 19. maj 2008,19. maj,spotify:track:2LYlXhl2r5XOpIuxv0L3rv
617,Ssshhh,['Hess Is More'],2008 20,man 12. maj 2008,12. maj,spotify:track:2rJRbaDbhkMewytudaUwmt
618,We Cry,['The Script'],2008 19,man 5. maj 2008,5. maj,spotify:track:5cxllEuDs5ekHTeO7TBoeC
619,Black and Gold,['Sam Sparro'],2008 18,man 28. april 2008,28. apr,spotify:track:4pkZNPC6yeMnQABwkTmsR6
620,Come Around,['Are We Brothers'],2008 17,man 21. april 2008,21. apr,spotify:track:640adQ2gMwZyC10dqra2de
621,L.E.S. Artistes,['Santogold'],2008 16,man 14. april 2008,14. apr,spotify:track:1SvIUtl5QuOTJhKNVikt6m
622,Longing for Lullabies,"['Kleerup', 'Titiyo']",2008 15,man 7. april 2008,7. apr,spotify:track:3PeFlnhfdfU2sm3XE4urlq
623,I'm Not Gonna Teach Your Boyfriend How to Dance With You,['Black Kids'],2008 14,man 31. marts 2008,31. mar,spotify:track:6fcZNs8sOkLwMK2NPzfVWC
624,Time to Pretend,['MGMT'],2008 13,man 24. marts 2008,24. mar,spotify:track:4iG2gAwKXsOcijVaVXzRPW
625,Built to Fail,['Veto'],2008 12,man 17. marts 2008,17. mar,spotify:track:75G5BaqDBUsR6T1WcRsOaY
626,Endnu en,['NordstrÃ¸m'],2008 11,man 10. marts 2008,10. mar,spotify:track:3LqnE7TcQvzlMMbzVDZXTr
627,Great DJ,['The Ting Tings'],2008 10,man 3. marts 2008,3. mar,spotify:track:6lMPQ6y52HaXkFwRSF9Kwc
628,XXX Couture,['L.O.C.'],2008 09,man 25. februar 2008,25. feb,spotify:track:5BpOtf6ongOOiQ6B6KFRYu
629,Yours Truly,['As In Rebekkamaria'],2008 08,man 18. februar 2008,18. feb,spotify:track:142BKQdo5JQA0vNAtK7Qwi
630,Run,['Gnarls Barkley'],2008 07,man 11. februar 2008,11. feb,spotify:track:3b41uzbEK5QDlqsoOCufag
631,Mercy,['Duffy'],2008 06,man 4. februar 2008,4. feb,spotify:track:1zusIxNqJu8i4g6P6hJ2Qa
632,Suzuki,['Henrik Hall'],2008 05,man 28. januar 2008,28. jan,spotify:track:0hawCzjHdSxyAufH610tDa
633,Chasing Pavements,['Adele'],2008 04,man 21. januar 2008,21. jan,spotify:track:0Z5ok0QLLttAKsujOZYOXf
634,Drops in the Ocean,['The Storm'],2008 03,man 14. januar 2008,14. jan,spotify:track:3M2HIpU472InBg20iLgA5s
635,Bleeding Love,['Leona Lewis'],2007 47,man 19. november 2007,19. nov,spotify:track:7wZUrN8oemZfsEd1CGkbXE
636,You Can't,['Alter Me'],2007 46,man 12. november 2007,12. nov,
637,My Tribe,['Spleen United'],2007 45,man 5. november 2007,5. nov,spotify:track:1lWA01CZfpqGBhe5NRTTn0
638,Ramt i natten,['Lizzie'],2007 44,man 29. oktober 2007,29. okt,spotify:track:0TqhWqqCmrXqDa6yHCUgks
639,Blush,['The Raveonettes'],2007 43,man 22. oktober 2007,22. okt,spotify:track:3hY36NXaHw0MADwANn5Rga
640,Is There a Ghost,['Band of Horses'],2007 42,man 15. oktober 2007,15. okt,spotify:track:7fgOmdonXZap1Kuz7hs3O1
641,Proletar (hvor jeg stÃ¥r),"['Suspekt', 'Troo.L.S.']",2007 41,man 8. oktober 2007,8. okt,spotify:track:4XNxIEYsEjK2Cu67brXBGq
642,Mouthwash,['Kate Nash'],2007 40,man 1. oktober 2007,1. okt,spotify:track:2wgk0vMQCnwkETPJiqsQTt
643,Told Her I'm From Compton,['The Floor Is Made of Lava'],2007 39,man 24. september 2007,24. sep,spotify:track:3dHLKp09jccPivlDKyKCLC
644,Ingenting,['Kent'],2007 38,man 17. september 2007,17. sep,spotify:track:1KJe9UbBelM1Jz0uZRPlhi
645,Pandora,['Magtens Korridorer'],2007 37,man 10. september 2007,10. sep,spotify:track:7xkqOPLciWQQrWM9tnWx1d
646,With Every Heartbeat,"['Kleerup', 'Robyn']",2007 36,man 3. september 2007,3. sep,spotify:track:5kxcj63GYiractdCBUUU1G
647,My Secret Lover,['Private'],2007 35,man 27. august 2007,27. aug,spotify:track:4JEtAKOmZ7j38JhpDlyv6b
648,Enemy,['Blue Foundation'],2007 34,man 20. august 2007,20. aug,spotify:track:4j2VyjyRSyfC0qGlMva7dA
649,On the Run,['Tina Dickow'],2007 33,man 13. august 2007,13. aug,spotify:track:50fXThmM6unbdyHKPYBArE
650,Into You,['Turboweekend'],2007 27,man 2. juli 2007,2. jul,spotify:track:4Y8ik2tHs5ttL1wVoMdX1r
651,You Don't Know What Love Is (You Just Do as You're Told),['The White Stripes'],2007 26,man 25. juni 2007,25. jun,spotify:track:2PVq6RRjQpycXb6yQEkHHt
652,Something From Nothing,['Aura'],2007 25,man 18. juni 2007,18. jun,spotify:track:7e2QmkL1yElgwOAsND0JsI
653,Ildebrand i byen,"['Natasja', 'Pharfar']",2007 24,man 11. juni 2007,11. jun,spotify:track:5QkFljcnH2lQDgrfXJUlvx
654,The Heinrich Maneuver,['Interpol'],2007 23,man 4. juni 2007,4. jun,spotify:track:4CKuOiUPeGbDsHkT3fmALJ
655,Let's Make Love and Listen to Death From Above,['CSS'],2007 22,man 28. maj 2007,28. maj,spotify:track:1Jd9W7k8DTnBSovDSxK77n
656,Who Is He,['Burhan G'],2007 21,man 21. maj 2007,21. maj,spotify:track:28jdbXv2VudVz72wdMCi9h
657,Hey Girl,['Figurines'],2007 20,man 14. maj 2007,14. maj,spotify:track:0uqL4CCTKTNFUwOfwwcJCv
658,Hold nu kay,['JaConfetti'],2007 19,man 7. maj 2007,7. maj,spotify:track:24aFuCKSgy0FZFePLmOGMF
659,I'll Kill Her,['SoKo'],2007 18,man 30. april 2007,30. apr,
660,Sharpen Your Knife,['Choir of Young Believers'],2007 17,man 23. april 2007,23. apr,spotify:track:0TSEyRQp9s4ETE0R6xgF8a
661,Earth Intruders,['BjÃ¶rk'],2007 16,man 16. april 2007,16. apr,
662,I Still Remember,['Bloc Party'],2007 15,man 9. april 2007,9. apr,spotify:track:42CvrQQnVpJaQ9P4aPuBOX
663,White Lillies,"['Peder', 'Ane Trolle']",2007 14,man 2. april 2007,2. apr,spotify:track:76iGdxOoIvKe2MTVDGQ7xb
664,Acceptable in the 80s,['Calvin Harris'],2007 13,man 26. marts 2007,26. mar,spotify:track:00cxhG668jV6gU6VK2FUVI
665,Hold nu,['U$O'],2007 12,man 19. marts 2007,19. mar,
666,The Outside,['Grand Avenue'],2007 11,man 12. marts 2007,12. mar,spotify:track:5OmaHWZziAbw0A0O7Q6aW3
667,Brianstorm,['Arctic Monkeys'],2007 10,man 5. marts 2007,5. mar,spotify:track:7f9I5WdyXm5q1XqnSYgQZb
