,title,artist,week,time_wide,time_narrow,uri
150,Dance Monkey,['Tones and I'],2019 27,man 1. juli 2019,1. jul,spotify:track:2XU0oxnq2qxCpomAAuJY8K
151,About Work the Dancefloor,['Georgia'],2019 26,man 24. juni 2019,24. jun,spotify:track:16vkuChBKoNYS33qMcmbDM
152,Castles,['Freya Ridings'],2019 25,man 17. juni 2019,17. jun,spotify:track:5tZWtGT65sMrDVPB5H444n
153,Kind of Love,"['Rat City', 'Isak Heim']",2019 24,man 10. juni 2019,10. jun,spotify:track:0Tv9DumSM7K9v4EME1XdsC
154,Mother's Daughter,['Miley Cyrus'],2019 23,man 3. juni 2019,3. jun,spotify:track:4C5iYZMmSYeIUCtX3uShA7
155,Church,"['Samm Henshaw', 'Earthgang']",2019 22,man 27. maj 2019,27. maj,spotify:track:1T37rmthd8KPcRPcD5Tm7u
156,Insomnia,['Daya'],2019 21,man 20. maj 2019,20. maj,spotify:track:7hzlzoOwCZ4D3Ow5YZK4kj
157,Can't Fall Asleep,"['Zookeepers', 'Clara']",2019 20,man 13. maj 2019,13. maj,spotify:track:1Yo53DrSr18OD3HNAPRPcj
158,Beloved,['Mumford & Sons'],2019 19,man 6. maj 2019,6. maj,spotify:track:7HFgnF1oPMzkCqEMBOA2yI
159,This Life,['Vampire Weekend'],2019 18,man 29. april 2019,29. apr,spotify:track:4dRqYKhLVujxiBXcq50YzG
160,DÃ¸de i dine arme,['Fraads'],2019 17,man 22. april 2019,22. apr,
161,Talk,['Two Door Cinema Club'],2019 16,man 15. april 2019,15. apr,spotify:track:6p3u0xbbyvwOq7PhDtGOWx
162,Piece of Your Heart,"['Meduza', 'Goodboys']",2019 15,man 8. april 2019,8. apr,spotify:track:1DFD5Fotzgn6yYXkYsKiGs
163,All My Friends,['AJ Mitchell'],2019 14,man 1. april 2019,1. apr,spotify:track:5Xq7KPZSONkhHx6DFTAbTz
164,Air Tonight,"['Emil Kruse', 'Benjamin Hav']",2019 13,man 25. marts 2019,25. mar,spotify:track:513USzRJreYwoYoIsqrvB2
165,DagdrÃ¸m [1],['Hans Philip'],2019 12,man 18. marts 2019,18. mar,spotify:track:6pa0cDzwcgekEdoLqTXoTS
166,Undrunk,['Fletcher'],2019 11,man 11. marts 2019,11. mar,spotify:track:1Pj5oOFzLYELyyeh1IYRK0
167,Bankende hjerter,['Barselona'],2019 10,man 4. marts 2019,4. mar,spotify:track:16Fl89WRrRIIN0bQKy4IiH
168,Paris,"['Lord Siva', 'Vera']",2019 09,man 25. februar 2019,25. feb,spotify:track:1NgeW6kFhdqAvEKgKYhf1s
169,Don't Call Me Up,['Mabel'],2019 08,man 18. februar 2019,18. feb,spotify:track:5WHTFyqSii0lmT9R21abT8
170,Tell Them,"['James Blake', 'Metro Boomin', 'Moses Sumney']",2019 07,man 11. februar 2019,11. feb,spotify:track:1RYibLoUBdckot7lYPxu96
171,Bury a Friend,['Billie Eilish'],2019 06,man 4. februar 2019,4. feb,spotify:track:4SSnFejRGlZikf02HLewEF
172,Chalice,"[""Donae'o"", 'Belly']",2019 05,man 28. januar 2019,28. jan,spotify:track:189NJ59FgEoGzBnyKZzreG
173,Longshot,['Catfish and the Bottlemen'],2019 04,man 21. januar 2019,21. jan,spotify:track:2VcS3oKcOPkubN9LVzZ96l
174,Waiting,['Kian'],2019 03,man 14. januar 2019,14. jan,spotify:track:23Ov2HUf5HK1Q5H3nR7wlz
175,Lonely,['Jada'],2019 02,man 7. januar 2019,7. jan,spotify:track:3kTWm7rhYhf2slAPcJs3ct
176,Wonderful Life,"['Bring Me the Horizon', 'Dani Filth']",2018 51,man 17. december 2018,17. dec,spotify:track:0ceW5TkemJUEmJERavfqQq
177,Trampoline,['Shaed'],2018 50,man 10. december 2018,10. dec,spotify:track:0lsRatBUs9HNIZAmoGABzk
178,Nothing Breaks Like a Heart,"['Mark Ronson', 'Miley Cyrus']",2018 49,man 3. december 2018,3. dec,spotify:track:27rdGxbavYJeBphck5MZAF
179,Week,['7715'],2018 48,man 26. november 2018,26. nov,spotify:track:3S8fs8StVmSHn9Afz0g4Lk
180,Lightenup,['Parcels'],2018 47,man 19. november 2018,19. nov,spotify:track:1qtiESAzfGMw3YqJvI97ki
181,Angelina,['Wiinston'],2018 46,man 12. november 2018,12. nov,spotify:track:3kWhNjQOk2qnwr1G8CGOtg
182,3 Nights,['Dominic Fike'],2018 45,man 5. november 2018,5. nov,spotify:track:1tNJrcVe6gwLEiZCtprs1u
183,Uh Huh,['Jade Bird'],2018 44,man 29. oktober 2018,29. okt,spotify:track:5sRyU2xqnQvCzL6L0OMD37
184,Power Over Me,['Dermot Kennedy'],2018 43,man 22. oktober 2018,22. okt,spotify:track:4tViDtaHuSLnh7HVJTrKhs
185,Blur,['MÃ¸'],2018 42,man 15. oktober 2018,15. okt,
186,Sucker Punch,['Sigrid'],2018 41,man 8. oktober 2018,8. okt,spotify:track:7FeWgVGGphXuSUu5wNeAcJ
187,Why Her Not Me,['Grace Carter'],2018 40,man 1. oktober 2018,1. okt,spotify:track:6xsoOjRcLB8gvjtmsQrIyq
188,Salvation,['Kops'],2018 39,man 24. september 2018,24. sep,spotify:track:4KbU1GNZX7FG4xaf62F0mB
189,Peer Pressure,['L Devine'],2018 38,man 17. september 2018,17. sep,spotify:track:12bxtY0tigHmCLPXNVfSNJ
190,"Heavy, California",['Jungle'],2018 37,man 10. september 2018,10. sep,spotify:track:34wcz4mpAActEc6gtqX3wz
191,Thunderclouds,['LSD'],2018 36,man 3. september 2018,3. sep,spotify:track:4lJNen4SMTIJMahALc3DcB
192,Eastside,"['Benny Blanco', 'Halsey', 'Khalid']",2018 35,man 27. august 2018,27. aug,spotify:track:0d2iYfpKoM0QCKvcLCkBao
193,Promises,"['Calvin Harris', 'Sam Smith']",2018 34,man 20. august 2018,20. aug,spotify:track:5N5k9nd479b1xpDZ4usjrg
194,Follow My Heart,['Kwamie Liv'],2018 25,man 18. juni 2018,18. jun,spotify:track:1eyxdO9gPnPlGRvGloJ49y
195,Miracle,['Chvrches'],2018 24,man 11. juni 2018,11. jun,spotify:track:1G79vIY7FPXPjBj9cpweZD
196,I Like It,"['Cardi B', 'Bad Bunny', 'J Balvin']",2018 23,man 4. juni 2018,4. jun,spotify:track:58q2HKrzhC3ozto2nDdN4z
197,Ready to Die,['Saveus'],2018 22,man 28. maj 2018,28. maj,spotify:track:6bvlpeJDPLKgizPumNusBi
198,Let Go,['Scarlet Pleasure'],2018 21,man 21. maj 2018,21. maj,spotify:track:2emRhDAPVl2PAY8sxPjrZ5
199,Lost Ones,['Elias Boussnina'],2018 20,man 14. maj 2018,14. maj,spotify:track:2PPj37oksWrSY8a4SLmNpH
200,Hard to Love,['Drew'],2018 19,man 7. maj 2018,7. maj,spotify:track:6kahjk1BUbfSlkFVKlqxtc
201,Light Blue,['Artifact Collective'],2018 18,man 30. april 2018,30. apr,spotify:track:31BIr1029PXON2Iibll1kt
202,All Night,['Elisha'],2018 17,man 23. april 2018,23. apr,spotify:track:2xn3zKd5oxN9f4tkM0Fy4A
203,Hero,['Nicklas Sahl'],2018 16,man 16. april 2018,16. apr,spotify:track:2Byimui8QwxGLc8S1JgmP9
204,Nu her,['Benal'],2018 15,man 9. april 2018,9. apr,spotify:track:73skF4Y2MgeL9YwJYv4ac9
205,Nothing to Regret,['Robinson'],2018 14,man 2. april 2018,2. apr,spotify:track:3C2xQqHVkhA1Ht17SzPRke
206,Sad!,['XXXTentacion'],2018 13,man 26. marts 2018,26. mar,spotify:track:3ee8Jmje8o58CHK66QrVC2
207,Korn,['Marie Key'],2018 12,man 19. marts 2018,19. mar,spotify:track:3w0GYfhnGVh0xdhW5KcYwG
